"title","one_liner","image_url","location","booking_url","description","date_start","time_start","attending","source","source_event_id"
"Lucky Louie","£0","https://images.ra.co/bca8922b06da4692336e9cfd3b83e5de2f8dd8a2.jpg","West Port Oracle, 27 West Port, Edinburgh EH1 2LD","https://ra.coevents/2380150","","2026-02-27","21:00:00.000",0,"ra","2380150"
"Latin Carnival at the Jazz Bar","£10-£16","https://images.ra.co/b1bd225edf5faf8cc5e39214104afb4c3c07c300.jpg","The Jazz Bar, 1a Chambers Street; Edinburgh, EH1 1HR; Scotland","https://ra.coevents/2358215","Bodega Latina celebrates Carnival month with live bands and DJs celebrating all things Latin. Kicking off at 9pm through to 3am
The first act is the mighty 10 piece salsa brava outfit, Orquesta Boreal. Currently the biggest and the best salsa outfit in the country who have been playing regularly to sell-out crowds at the Jazz Bar with their barrage of fiery salsa rhythms.","2026-02-27","21:00:00.000",6,"ra","2358215"
"Giuseppe","£0","https://images.ra.co/0182a4cd73b8cdfe3708266424bbb960766dfd4a.jpg","Bramble, 16A Queen St, Edinburgh EH2 1JE","https://ra.coevents/2380162","","2026-02-27","21:00:00.000",0,"ra","2380162"
"Matthew K","£0","https://images.ra.co/3f3f112c5cbec753f9b67b73c9e14e7a3285439c.png","Lady Libertine, 25 W Register St, Edinburgh, EH2 2AA, United Kingdom","https://ra.coevents/2380156","","2026-02-27","21:00:00.000",0,"ra","2380156"
"Volley Fridays","£0","https://images.ra.co/300ab806cfa681262214f6772a8aa3295471889a.png","The Volley Leith, 180 Leith Walk, Edinburgh EH6 5EA","https://ra.coevents/2380180","","2026-02-27","20:00:00.000",0,"ra","2380180"
"Session Victim (LIVE) ⥊ Lobos ⥊ Hobbes ⥊ Jedda ⥊ Mixfits ⥊ Geordie ⥊ Club_Nacht ","£4 - £12 ","https://images.ra.co/2d55cbcddabafd705032160ecd287dfe25bc7bbc.png","The Bongo Club, 66 Cowgate; Edinburgh, EH1 1JX;  Scotland; United Kingdom","https://ra.coevents/2321270","For our second guest of the season, we’re delighted to finally welcome a long-standing bucket-list booking and one of Germany’s most respected electronic acts.... Join us as Berlin’s Session Victim arrive in the Scottish capital for a very special live appearance on Saturday 28 February.

Renowned for pushing boundaries within house and electronic music, Session Victim describe themselves, with typical understatement, as a “Two Man House Band”. It’s an fitting title given their sound is rich, warm, deeply musical and built on feeling and meaninful groove.

Hauke Freer and Matthias Reiling are widely regarded as one of the most accomplished house duos of their generation. Their catalogue includes three genre-defining triple LPs on UK tastemaker label Delusions of Grandeur, alongside the critically acclaimed Needledrop album for Night Time Stories: a release praised for its depth, musicality and reverence for dancefloor culture. Add to this over twenty vinyl-only EPs and a string of modern classics for labels such as Rhythm Section, Retreat and Pen & Paper, and their influence becomes difficult to overstate.

As performers, there are very few modern house acts who havee logged as much meaningful club time as our February guests. For nearly two decades now, the Berlin-based duo have been quietly - and sometimes not so quietly - left their mark on dancefloors across the globe, from sweat-soaked basements to some of the most respected clubs and festivals in electronic music (think Panaroma Bar, Fabric, De School, Corsica to name but a few!).

It’s this extensive, hard-earned road experience that gives Session Victim their unmistakable confidence behind the machines they use.

Don't miss this rare opportunity to catch them live in an indepdent club setting. Tickets on sale now! 

⥊

2026 Parties:

Sat 03 Jan ⥊ Club_Nacht Payback Party
Sat 31 Jan ⥊ Étienne de Crécy (Super Discount) - WARM UP Album Tour
Sat 28 Feb ⥊ Session Victim [Live]
Sat 28 Mar ⥊ Theo Kottis (Permanent Vacation / Dekmantel)
Sat 24 April ⥊ Michelle Manetti (Femme Fraiche) [HM 13th Anniversary]
Sat 23 May ⥊ Hector's 14th Birthday w/ Special Guest TBA
Sat 20 June ⥊ Start of Summer Shindig w/ OOFT! (La Cheetah)
Sat 18 July ⥊ Bongo Closing Party w/Special Guest TBA

+ many more to come","2026-02-28","23:00:00.000",124,"ra","2321270"
"Samedia x Oi Musica: Dance Into Light feat. Jamz Supernova, El Buho & More","£14 - £20","https://images.ra.co/5c952cd88e925f11c356ff93dba2f4e2f64d6ee8.jpg","Portobello Town Hall, 147-149 Portobello High St, Edinburgh EH15 1AF","https://ra.coevents/2307965","Saturday 28th February
Samedia Shebeen & Oi Musica present

DANCE INTO LIGHT
DAY PARTY: 5pm - 11pm
With
Jamz Supernova (DJ Set)
El Buho (Live)
Oi Musica (Live)
+ Samedia DJs

Portobello Town Hall
Edinburgh

Plus: Samedia Decor / Decades of Dub Bar / Knights Kitchen African Food / Family Friendly

Legendary Edinburgh tropical party starters Samedia Shebeen join forces with street music promoters and educators Oi Musica for a very special one-off celebration in the heart of Portobello where both outfits are based.

Jamz Supernova (BBC 6music / DJ Set)
Jamz Supernova uses sonics to tell a story. The multi-faceted creative force is a label head, radio host, DJ, podcaster, and true tastemaker, broadcasting for over a decade. Known for her slots on BBC Radio 1Xtra (Best Specialist Aria Gold Winner 2021), BBC 6Music (Broadcast & Press Guild Best radio show of 2022) & Selector Radio for the British Council, reaching over 4 million global listeners. She is an avid explorer, collector and promoter of diverse worldwide sounds and frequently travels the globe to connect and understand musical movements at their source. As a DJ she weaves these thread together with style and skill and plenty of attitude to make a great dancefloor experience for all.

El Buho (Shike Shika / Live)
Robin Perkins aka El Búho was born in the rolling hills of northern England but found his musical home in the forests, rivers & mountains of Latin America. His sound marries his influence of Dub, IDM and Electronica with the rhythms, traditions and melodies of Latin American folk and the organic sound of waterfalls, birdsongs and crackling leaves. The result is a dreamy, deep, melodic journey that entrances as much through headphones as it does on the dancefloor.

His breakthrough EP Cenotes, written whilst living in Mexico and featuring the track Mañana Tepotzlan, was released in 2015 via Wonderwheel Recordings and was followed in 2017 by his debut album Balance to critical acclaim as one of the the leading names in the emerging organic electronic scene. 

Alongside his music, El Búho is also an environmental activist, having worked for over eight years at Greenpeace, being a member of DJs For Climate Action and coordinating the non-profit project “A Guide to the Birdsong” a series of albums that raise funds and awareness for endangered bird species through electronic music. In 2020 he also participated in the New York Times author Ian Urbina’s project The Outlaw Ocean, creating a four track EP inspired by the ocean deep and the need to protect this mysterious, beautiful and fragile ecosystem from threats like oil drilling.

Oi Musica (Live)
Oi Musica creates visceral live performances using rhythm, percussion and brass. Their music is all about building energy and blurring the lines between audience and performer. They'll be debuting a brand new project with live brass & percussion, fat electronics and plenty of vibe! Drawing inspiration from global street band music, Oi Musica is guaranteed to bring the energy of hot dusty streets at carnival time right into the heart of the dance floor. Don’t miss the debut of Oi Musica’s freshest new act…

Samedia DJs
This crew have been rocking dancefloors across the UK and beyond for over 15 years with their exciting fusions of world and global club sounds. Known locally for their annual Solsctice Beach Party and long-running residency at the Mash House.

North Fire Soundsystem
Providing the bass, mids and tops all the way from Cumbria - one of the top soundsystems on the scene and long time collaborator with Samedia at Knockengorroch, Boomtown and beyond.

This event runs from 5pm - 11pm. Under 18s are welcome until 8pm.

Tickets on sale now!","2026-02-28","17:00:00.000",88,"ra","2307965"
"Samedia Shebeen: Dance Into Light Afterparty","£5-£7","https://images.ra.co/777c9575bcfb62da3688679784f52ea0123ae1ed.jpg","People's Leisure Club, 45 Lothian Street, Edinburgh, EH1 1HB","https://ra.coevents/2370545","The follow on for Samedia's historic Dance Into Light event at Portobello Town Hall which finishes at 11pm. A night of tropical heat and positive worldwide dancefloor sounds at the People's Leisure Club.

Featuring:
Samedia Shebeen DJs
North Fire Sound
Femme45 (ReQuinha b2b Dakilei)

Attendees of the main event will be emailed a discounted £5 ticket link and access will also be same price on the door with their ticket. For anyone who just fancies the Afters of missed out on Portobello tickets (main event is almost sold out) then entry is £7+BF.","2026-02-28","23:00:00.000",21,"ra","2370545"
"Colours presents - John Digweed","","https://images.ra.co/ebcb5a82d32ee4d8ee81954c861fb7991da0aaff.jpg","The Caves, 8-10 Niddry Street South, Edinburgh, EH1 1NS, Scotland, United Kingdom","https://ra.coevents/2349948","John Digweed returns to The Caves, following last years infamous sell out show. This will sell out, make sure you get your tickets now","2026-02-28","17:00:00.000",24,"ra","2349948"
"DBT. with Edward (Giegling / Perlon) and many more","10/15","https://images.ra.co/f9ae00e094f1226f2449b3aaeddb59307a5e9f81.jpg","Cabaret Voltaire, 36-38 Blair St; Edinburgh, EH1 1QR; Scotland; United Kingdom","https://ra.coevents/2355494","DBT. are bringing Edward (Giegling / Perlon) to Edinburgh for his first ever Scottish Show.

We have been following Edward around the world for the past 6 years and he has always blown us away with his amazing sound.

After his groundbreaking set at Houghton and honoured as one of the best sets at Houghton, we thought it’s about time we brought through the German legend to showcase his unique and amazing sound for the first time in Scotland. 

This is a very rare and special occasion to catch this legend on Scottish Soil. 

Tickets will be limited and not one to be missed.



 If you don’t know, you really need to get to know and this one will amaze you further than you could ever believe. It’s an honour to have him in Edinburgh at @cab_vol 
","2026-02-28","22:00:00.000",33,"ra","2355494"
